question,segment_type,segment_description,answer,count,percentage
Best stories on Snapchat discover?,University,Stony Brook University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Stony Brook University,People,0,0.0
Best stories on Snapchat discover?,University,Stony Brook University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Stony Brook University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Stony Brook University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,University of Scranton,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,University of Scranton,Vice,1,0.333
Best stories on Snapchat discover?,University,University of Scranton,Buzzfeed,1,0.333
Best stories on Snapchat discover?,University,University of Scranton,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,University of Scranton,People,0,0.0
Best stories on Snapchat discover?,University,University of Scranton,ESPN,1,0.333
Best stories on Snapchat discover?,University,University of Scranton,Cosmo,0,0.0
Best stories on Snapchat discover?,University,University of Scranton,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Wellesley College,Daily Mail,1,1.0
Best stories on Snapchat discover?,University,Wellesley College,Vice,0,0.0
Best stories on Snapchat discover?,University,Wellesley College,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Wellesley College,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Wellesley College,People,0,0.0
Best stories on Snapchat discover?,University,Wellesley College,ESPN,0,0.0
Best stories on Snapchat discover?,University,Wellesley College,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Wellesley College,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,San Diego State University,Daily Mail,7,0.041
Best stories on Snapchat discover?,University,San Diego State University,Vice,14,0.083
Best stories on Snapchat discover?,University,San Diego State University,Buzzfeed,37,0.219
Best stories on Snapchat discover?,University,San Diego State University,Comedy Central,17,0.101
Best stories on Snapchat discover?,University,San Diego State University,People,4,0.024
Best stories on Snapchat discover?,University,San Diego State University,ESPN,31,0.183
Best stories on Snapchat discover?,University,San Diego State University,Cosmo,16,0.095
Best stories on Snapchat discover?,University,San Diego State University,Never watched those / other,43,0.254
Best stories on Snapchat discover?,University,University of Pennsylvania,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,University of Pennsylvania,Vice,0,0.0
Best stories on Snapchat discover?,University,University of Pennsylvania,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,University of Pennsylvania,Comedy Central,1,0.5
Best stories on Snapchat discover?,University,University of Pennsylvania,People,0,0.0
Best stories on Snapchat discover?,University,University of Pennsylvania,ESPN,1,0.5
Best stories on Snapchat discover?,University,University of Pennsylvania,Cosmo,0,0.0
Best stories on Snapchat discover?,University,University of Pennsylvania,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,North Dakota State University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,North Dakota State University,Vice,0,0.0
Best stories on Snapchat discover?,University,North Dakota State University,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,North Dakota State University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,North Dakota State University,People,0,0.0
Best stories on Snapchat discover?,University,North Dakota State University,ESPN,0,0.0
Best stories on Snapchat discover?,University,North Dakota State University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,North Dakota State University,Never watched those / other,1,1.0
Best stories on Snapchat discover?,University,University of Memphis,Daily Mail,1,1.0
Best stories on Snapchat discover?,University,University of Memphis,Vice,0,0.0
Best stories on Snapchat discover?,University,University of Memphis,Buzzfeed,0,0.0
